token,score
This,0.023415797043997055
research,0.014995612092146447
is,0.011518682429432537
concerned,0.009046515935819954
withmaking,0.00871699095193399
recommendations,0.011936439867419352
to,0.006466683782603875
museum,0.01535421453675657
visitors,0.008004876872170616
based,0.006333898564134109
on,0.0075818399296201065
theirhistory,0.007831872256462416
within,0.010448979842953508
the,0.007032221066807686
physical,0.0075001752977546755
"environment,",0.011308067693299072
and,0.011701335617295118
textual,0.005854662311493632
information,0.006777449454404413
associated,0.010080301055709017
with,0.013723430305596088
each,0.008984982191175266
itemin,0.009175617056234939
their,0.00889776180639633
history.,0.008046496923299847
This,0.012155637547212923
study,0.01292304584819569
compares,0.007289701041158447
and,0.00724571929760044
analyses,0.006771279379747496
different,0.004924546134489889
methods,0.006819077374723824
of,0.006722270141387108
path,0.00497200876393334
prediction,0.006471301730540502
including,0.010279641528684573
an,0.010341839248885671
adapted,0.010329392363327732
naive,0.03194534913233677
Bayes,0.010715510372584154
"method,",0.01880114672803106
document,0.01159981420102081
"similarity,",0.007994309338191957
visitor,0.011926116258987993
feedback,0.010428738046545934
and,0.007029014694529268
measuresof,0.005165218719784317
lexical,0.007834055037454598
similarity,0.014793527373913757
In,0.15556331125717013
this,0.12230274450335939
paper,0.15588711483105366
we,0.1267807304913124
studythe,0.07718105983397401
problem,0.04653701455076852
of,0.05609549255655475
recommendation,0.08675328371943822
systems,0.0446470083242807
forthe,0.091150011656018
task,0.06361629697828118
of,0.06451490059810386
visitorsto,0.06024047862968899
aninformation,0.05651252279327622
rich,0.06911373894255161
environment,0.05374777658490232
such,0.06439570216453049
as,0.05920021427077752
a,0.05104994410628166
"museum,are",0.06710865431358606
interested,0.044694412359173825
toconvey,0.04222949982622811
predictions,0.043548931227182716
about,0.044218557991140224
whattheme,0.03880901412559282
or,0.02985406094502395
topic,0.03604229944324651
a,0.03720628643416494
given,0.025901410224599124
visitor,0.05351218034223558
is,0.02949534866570611
interested,0.026032153407916866
in.,0.04186047360932424
We,0.11915736289388625
areinterested,0.10371410417946536
to,0.06932674495215214
get,0.09529902826987549
the,0.10534392699384817
most,0.0628163700980822
out,0.09460414501929343
of,0.06072585372387789
their,0.07248122221057814
visit.As,0.08379409143313998
a,0.01669237167259737
behaviour,0.019887367599885235
to,0.013468212712148752
evaluate,0.009694775005079231
the,0.006278266457857211
relative,0.009604975543274209
impact,0.010077504862380479
of,0.008993624503038533
different,0.010274071512990847
factors,0.011109213580160192
in,0.012576640755944644
the,0.012757872464649976
physical,0.017327777878800944
space.,0.0271117480273024
This,0.03269295749145983
paper,0.037528033343849694
proposesa,0.03634096210098122
novel,0.025934918747696475
approach,0.017770246520811522
to,0.021508182957191334
measuring,0.012139059632350558
the,0.007937502105242217
success,0.01595639641389778
of,0.014968639598440222
machine,0.010917518598549437
learning,0.014903541599402596
methodsin,0.009957785790428145
a,0.01040946643522286
user’s,0.011568840835139283
selection,0.010802198790413973
of,0.008069943569631094
a,0.007859528305939672
particular,0.0049260622451447085
exhibit,0.020006389555385987
to,0.00589515930835475
be,0.004320341171156975
produced.,0.007438506151844842
An,0.009286832204888228
