token,score
test_predictions_source.txtGlioblastomas,0.01956827302647296
are,0.008083561230101679
deadly,0.007320203581991887
cancers,0.007650754377407641
that,0.0076593101579609
display,0.007083954105268846
a,0.005952267982868908
functional,0.004196585795283125
cellular,0.004992305050805509
hierarchy,0.0059007260342512245
maintained,0.005341235272619916
by,0.006605161517088709
self-renewing,0.005666118770985005
glioblastoma,0.0045454837945411
stem,0.003998974048492845
cells,0.003579421507197551
(GSCs).,0.0028850871155723093
GSCs,0.00612770887846667
are,0.0019282404541108502
regulated,0.002876762317817799
by,0.002881247400301088
molecular,0.002386429879759362
pathways,0.0024561968105764566
distinct,0.00216960965557172
from,0.003085391615891232
the,0.003189223777667512
bulk,0.0023427522907684658
tumor,0.003360646068763824
that,0.0022163902446617457
may,0.001766601343185427
be,0.0016902985976360962
useful,0.0017013726349830959
therapeutic,0.0020108018661479385
targets.,0.0012953916699351556
We,0.506814998393741
determined,0.5450142647834798
that,0.5872116755098846
A20,0.48296112430116317
"(TNFAIP3),",0.6059484302554394
a,0.6726316329225771
regulator,0.5861294252936031
of,0.6590289146582572
cell,0.6596026904247033
survival,0.6023313446168411
and,0.6053756495392961
the,0.6177902434323115
NF-kappaB,0.6370430499802978
"pathway,",0.6796204821964092
is,0.5779644934192493
overexpressed,0.5325634445726641
in,0.6309884525696943
GSCs,0.6220696597878569
relative,0.5973084711490603
to,0.5970405094336888
non-stem,0.6097886102360908
glioblastoma,0.555316506061565
cells,0.6379042744457212
at,0.5584803452751363
both,0.5615316333689453
the,0.5207448310038966
mRNA,0.5433714980286736
and,0.4698313455079716
protein,0.4654002212858399
levels.,0.5157803374288872
To,0.01674391435988032
determine,0.00985656928246599
the,0.011942808701260871
functional,0.013690691367272807
significance,0.014270298439492885
of,0.02557989427439168
A20,0.08247251293572593
in,0.03309129122861097
"GSCs,",0.028812240369028547
we,0.05185874122926899
targeted,0.04017728174789755
A20,0.08738305449846026
expression,0.07360044302937784
with,0.6147063248413247
lentiviral-mediated,0.4623588675505126
delivery,0.5224415396733864
of,0.6368624382024722
short,0.48481367986172175
hairpin,0.3402988186897803
RNA,0.3505660993743047
(shRNA).,0.2751137715487646
Inhibiting,0.8343627383275893
A20,0.6967897209191057
expression,0.7600250575328121
decreased,0.8252255391615264
GSC,0.7782238456276248
growth,0.8023483140874589
and,0.865926133553487
survival,0.8174832400194137
through,0.8530369155267379
mechanisms,0.8589822986333994
associated,0.8598993000781822
with,0.8401762835582539
decreased,0.8651465022200978
cell-cycle,0.8401834067382209
progression,0.8366194861538603
and,0.8715969709176251
decreased,0.8768191547087701
phosphorylation,0.8505154970771086
of,0.836149860955383
p65/RelA.,0.7037733527616218
Elevated,0.54928702033722
levels,0.5805547607521939
of,0.6050441313533836
A20,0.5396221347157345
in,0.6437853393869388
GSCs,0.5696495524776812
contributed,0.5994825806879632
to,0.6091526413366308
apoptotic,0.6586526042621687
resistance:,0.5974611554647601
GSCs,0.6886394789849477
were,0.7551853906999647
less,0.8034072554058246
susceptible,0.7569434041114302
to,0.7785380442432585
TNFalpha-induced,0.7269394655013243
cell,0.7861553327085076
death,0.7719654015866096
than,0.8379406716011817
matched,0.7132347740807463
non-stem,0.7458768674171781
glioma,0.7023419022478793
"cells,",0.7566468192211825
but,0.7863155058679249
A20,0.7122325934888093
knockdown,0.7365799235348066
sensitized,0.7878269987360025
GSCs,0.7342536059460648
to,0.7657499811713454
TNFalpha-mediated,0.7344937503467235
apoptosis.,0.8138437736653938
The,0.5502263288539464
decreased,0.5407947148221687
survival,0.5413749037482436
of,0.5460450966947559
GSCs,0.5574772353194467
upon,0.5576565355731269
A20,0.5083047643784339
knockdown,0.25705121897431976
contributed,0.2890265748843027
to,0.33192405967176225
the,0.2809903859339841
reduced,0.20514652686883864
ability,0.17164021238204377
of,0.17026509520769104
these,0.23887756887385206
cells,0.22431400222325332
to,0.15989944613246193
self-renew,0.128419413200571
in,0.15422826202555473
primary,0.12712662817188258
and,0.19418856925055603
secondary,0.09321945096741166
neurosphere,0.11726135872998918
formation,0.10163695835755711
assays.,0.084178158805012
The,0.5025192211476053
tumorigenic,0.49075052899002375
potential,0.5256600292791234
of,0.5471597248793005
GSCs,0.4962267046010622
was,0.5591694022206797
decreased,0.5075116078409716
